x-entity;Edith Wilson;Florence Harding;Grace Coolidge;Lou Henry Hoover;Eleanor Roosevelt;Bess Truman;Mamie Eisenhower;Jacqueline Kennedy Onassis;Lady Bird Johnson;Pat Nixon;Betty Ford;Rosalynn Carter;Nancy Reagan;Barbara Bush;Hillary Clinton;Laura Bush;Michelle Obama
Woodrow Wilson;0.06389544535023776;0.07044053268778505;0.08006080767715498;0.0651380016509122;0.053892888458070755;0.07755235787058869;0.0738809238614705;0.06185518637214668;0.07290032929168555;0.07044553053005309;0.057035249205726946;0.07305249824896241;0.0694778822517992;0.07049162910972853;0.05272336322004177;0.06926328704447904;0.05451356305640004
Warren G. Harding;0.06389544535023776;0.16345227384350292;0.06786336118498539;0.0651380016509122;0.053892888458070755;0.08364194241084849;0.07938710957387217;0.05873799028958277;0.07825602404726702;0.06335003486082509;0.057035249205726946;0.07843139967821078;0.07432579366651061;0.07548712961185935;0.056091328405998744;0.07408025923805761;0.06205632265052967
Calvin Coolidge;0.06389544535023776;0.07044053268778505;0.15543102413308515;0.0651380016509122;0.053892888458070755;0.08148994619958884;0.07744594640448177;0.055109205544393414;0.07636912377086301;0.05937116773334398;0.057035249205726946;0.0587518543983036;0.06326963739484244;0.06410921570553878;0.056091328405998744;0.05627583431266547;0.07038002086992365
Herbert Hoover;0.06389544535023776;0.07044053268778505;0.06786336118498539;0.07982942036721005;0.053892888458070755;0.0627654854086078;0.06007846923367913;0.05875486198348099;0.05968307838967777;0.059712088771044954;0.05824914451202225;0.05982216590957459;0.05709045226251175;0.057773160290243736;0.056091328405998744;0.05694547727878134;0.06824731288617089
Franklin D. Roosevelt;0.06389544535023776;0.07044053268778505;0.06786336118498539;0.0651380016509122;0.11082109977460303;0.0627654854086078;0.06007846923367913;0.055109205544393414;0.05968307838967777;0.059712088771044954;0.06220373147559459;0.0587518543983036;0.06654081844912528;0.06804586573374591;0.056091328405998744;0.05627583431266547;0.04914628690383658
Harry S. Truman;0.06299224386940008;0.08364194241084849;0.06786336118498539;0.0651380016509122;0.053892888458070755;0.06898025611078397;0.06007846923367913;0.055109205544393414;0.05968307838967777;0.059712088771044954;0.06220373147559459;0.0587518543983036;0.056356816495380366;0.05702198888657335;0.0500307159766387;0.05627583431266547;0.06843415569062346
Dwight D. Eisenhower;0.07186851931403465;0.07938710957387217;0.07744594640448177;0.0651380016509122;0.053892888458070755;0.06898025611078397;0.1337164820054545;0.05559268483614989;0.053724946152335605;0.07108167682300431;0.0690182107863254;0.05982216590957459;0.056356816495380366;0.058093912100618726;0.04971428617254991;0.05627583431266547;0.04914628690383658
John F. Kennedy;0.06750446386902607;0.07207183856217843;0.07046832401172091;0.068330342300573;0.05749765536198035;0.0711111927635292;0.06007846923367913;0.05867487967440461;0.06621942571032863;0.059712088771044954;0.05824914451202225;0.0587518543983036;0.056356816495380366;0.05702198888657335;0.0500307159766387;0.05627583431266547;0.04914628690383658
Lyndon B. Johnson;0.07290032929168555;0.07825602404726702;0.06786336118498539;0.0651380016509122;0.053892888458070755;0.14624735615520992;0.06007846923367913;0.059701507901629716;0.05746325340649531;0.059712088771044954;0.06603588224835968;0.0640113071083912;0.0662042131497582;0.057773160290243736;0.04951034208566184;0.05694547727878134;0.05129429888248426
Richard Nixon;0.0694778822517992;0.07432579366651061;0.0726216008321624;0.0703530668005872;0.061125299455622166;0.06898025611078397;0.06007846923367913;0.05867487967440461;0.06621942571032863;0.07108167682300431;0.05645388531597106;0.06221294688981755;0.05540592045652488;0.06034594969144166;0.04958281831051238;0.05694547727878134;0.0620688487249935
Gerald Ford;0.0694778822517992;0.07432579366651061;0.0726216008321624;0.0651380016509122;0.061125299455622166;0.07055163423251147;0.06007846923367913;0.061230951687311755;0.06668062154330748;0.059712088771044954;0.05645388531597106;0.05982216590957459;0.05540592045652488;0.057773160290243736;0.04958281831051238;0.05694547727878134;0.0620688487249935
Jimmy Carter;0.07049162910972853;0.07548712961185935;0.07372989444794271;0.0651380016509122;0.05749765536198035;0.0627654854086078;0.06845654429274409;0.0667485022380499;0.053724946152335605;0.05796618321917566;0.05645388531597106;0.06221294688981755;0.05540592045652488;0.06034594969144166;0.04958281831051238;0.05694547727878134;0.05110249565878896
Ronald Reagan;0.06783116003080597;0.0724443610398903;0.07082441355872296;0.0686651010643466;0.05984707115015246;0.06885424162417178;0.06007846923367913;0.0580246759024179;0.06516237919356736;0.059712088771044954;0.05645388531597106;0.06528393192941478;0.05540592045652488;0.06323110726643438;0.04958281831051238;0.06224099151737159;0.05290689863518691
George H. W. Bush;0.06926328704447902;0.0740802592380576;0.07238717912796268;0.0651380016509122;0.06095913804699543;0.07033036537184606;0.06729751954707552;0.06196581525605272;0.06648293360959727;0.07108167682300431;0.05645388531597106;0.05982216590957459;0.05540592045652488;0.12301185852542695;0.04958281831051238;0.11931922603303509;0.061897525073387
Bill Clinton;0.0694778822517992;0.07432579366651061;0.06786336118498539;0.0703530668005872;0.053892888458070755;0.07055163423251147;0.06750008890433228;0.06213751767578819;0.06668062154330748;0.07108167682300431;0.1249805401851113;0.05982216590957459;0.1199575015520096;0.057773160290243736;0.04971428617254991;0.05694547727878134;0.0620688487249935
George W. Bush;0.07049162910972853;0.07548712961185935;0.07372989444794271;0.0651380016509122;0.053892888458070755;0.0627654854086078;0.06845654429274409;0.059585638389391654;0.053724946152335605;0.05796618321917566;0.05645388531597106;0.05982216590957459;0.05540592045652488;0.057773160290243736;0.04958281831051238;0.05694547727878134;0.05451356305640004
Barack Obama;0.06742342821429669;0.07197947363553454;0.06786336118498539;0.06824731288617089;0.053892888458070755;0.06996700861335783;0.06555930269776537;0.055109205544393414;0.053724946152335605;0.07108167682300431;0.05645388531597106;0.05982216590957459;0.05540592045652488;0.057773160290243736;0.04958281831051238;0.05694547727878134;0.04914628690383658
